#loc_id;name;lat;lon;plz;adresse
26024;;542.201.936.824.486;92.604.295.178.707;25782;
26026;;5.416.132;886.023;25761;
26109;;5.426.782;911.235;25779;
26221;;540.453;911.905;25729;
26414;;5.407.715;910.363;25704;
26454;;542.127.447.881.436;937.984.816.873.626;25799;
21783;;5.413.136;899.435;25704;
24886;;541.089.794.349.486;924.357.700.678.635;25767;
24728;;542.193.617.376.415;934.410.840.416.507;25782;
22095;;5.421.255;898.353;25764;
463;;536.013.265.151.515.000;10.586.605.303.030.300;;
13475;;5.368.057;1.069.432;23909;
13623;;5.362.249;1.065.775;23881;
13824;;5.352.818;1.031.357;21521;
14022;;5.371.405;1.078.621;23909;
14023;;5.361.672;1.062.172;23881;
14141;;534.174.161.542.424;105.836.433.227.539;21483;
14145;;5.357.803;1.047.128;21493;
14211;;5.369.922;1.066.799;23919;
14352;;5.373.066;1.064.776;23919;
14408;;5.353.021;1.074.237;23899;
14604;;5.376.881;1.060.245;23847;
14700;;5.346.926;1.028.125;21039;
14809;;5.361.371;1.056.475;23881;
14918;;5.360.683;1.063.049;23881;
14996;;5.348.024;1.066.704;21514;
15052;;5.361.715;1.074.933;23883;
15053;;5.349.403;104.219;21524;
15091;;5.373.093;107.453;23911;
15096;;5.338.633;1.056.469;21481;
15106;;5.348.324;106.135.400.000.001;21514;
15394;;5.358.782;1.044.471;22946;
15405;;5.343.459;1.061.192;21483;
15449;;5.349.119;1.037.336;21521;
15858;;5.373.666;1.058.349;23847;
15895;;5.369.265;1.056.852;23898;
16061;;5.371.399;1.073.405;23911;
16138;;5.354.535;1.053.587;21493;
16321;;5.346.655;1.030.924;21039;
16521;;5.349.452;1.064.661;21514;
16624;;5.367.272;1.072.476;23909;
16771;;535.747.021.129.107;105.261.449.996.948;21493;
16875;;5.343.018;103.741;21502;
17029;;5.368.851;1.071.397;23909;
17140;;5.372.207;1.063.191;23919;
17175;;5.353.398;1.070.292;21514;
17252;;5.351.368;1.051.962;21493;
17293;;5.357.143;1.068.256;23883;
17375;;5.377.624;105.483;23847;
17419;;5.375.279;1.045.287;23847;
17431;;5.374.321;1.069.239;23911;
17470;;537.953;1.075.594;23627;
17546;;5.352.224;1.056.164;21493;
17571;;5.376.933;1.073.518;23627;
17574;;5.379.517;1.056.518;23860;
17613;;535.287;1.049.472;21493;
17649;;5.355.562;1.077.045;23899;
17659;;5.344.164;1.049.079;21483;
17672;;5.353.825;106.808;21514;
17844;;5.359.609;1.044.776;22929;
17861;;5.345.298;1.042.135;21502;
17901;;5.370.014;107.261;23911;
18005;;5.353.996;1.047.288;21493;
18515;;5.347.574;103.663;21526;
18584;;5.359.185;108.196.399.999.999;23883;
18667;;5.356.041;1.064.644;21514;
18680;;5.363.351;1.076.604;23883;
18996;;534.164.966.852.724;105.067.940.810.394;21483;
19073;;5.354.939;1.056.789;21514;
19129;;5.356.703;1.041.496;22929;
19139;;5.374.952;1.057.107;23847;
19343;;5.366.417;1.091.819;23911;
19408;;5.351.095;1.057.483;21514;
19431;;5.357.694;1.087.314;23883;
19433;;537.644.935.161.454;106.637.504.928.589;23628;
19454;;5.371.622;1.055.107;23898;
19493;;5.363.899;1.052.462;23881;
19564;;5.360.972;1.050.814;22929;
19590;;5.346.375;1.046.009;21527;
19703;;5.348.588;103.156;21529;
19735;;5.340.272;105.268;21483;
19740;;5.341.916;1.048.076;21483;
19748;;5.378.038;1.064.071;23628;
19761;;5.358.706;1.040.043;22958;
19772;;5.368.184;1.061.373;23898;
19803;;5.371.027;1.069.562;23911;
19838;;5.370.939;1.052.624;23898;
19934;;5.350.169;1.074.112;21514;
19973;;5.366.918;1.066.792;23881;
19977;;533.872.275.808.749;106.048.541.474.628;21483;
20007;;5.337.582;1.054.703;21481;
20078;;5.359.474;1.075.208;23883;
20251;;5.364.476;1.047.187;22959;
20446;;536.908;1.052.954;23898;
20473;;5.343.527;1.054.896;21483;
20737;;5.371.745;108.024;23909;
20999;;5.356.019;1.046.574;21493;
21009;;5.363.001;1.069.269;23879;
21150;;5.359.609;104.883;21493;
21208;;5.349.243;105.644;21516;
21230;;5.368.562;1.088.557;23911;
21723;;5.370.231;1.062.614;23919;
21725;;5.358.849;1.061.105;23881;
21847;;5.365.911;1.057.781;23896;
22306;;5.366.324;1.061.828;23896;
22543;;5.375.032;1.072.873;23911;
22545;;536.428;1.057.935;23896;
22835;;5.369.955;107.596;23909;
23161;;5.366.339;1.056.713;23896;
23222;;5.371.079;1.076.928;23909;
23275;;5.375.363;1.062.894;23919;
23289;;535.325;1.062.703;21514;
23479;;5.352.475;1.053.289;21493;
23485;;5.365.699;1.082.756;23911;
23516;;5.368.798;1.049.639;23898;
23710;;5.370.783;1.046.135;23847;
23800;;536.623.048.649.761;107.579.422.973.871;23911;
23817;;5.338.511;1.050.021;21481;
23857;;5.368.176;1.042.929;22929;
23958;;5.358.443;1.054.867;21493;
23971;;5.376.347;1.047.186;23847;
23978;;5.347.398;1.055.952;21516;
24040;;5.350.177;1.047.992;21493;
24117;;5.361.925;108.665;23883;
24240;;5.374.982;1.052.843;23847;
24241;;5.351.139;1.061.771;21514;
24262;;5.373.515;1.060.045;23847;
24314;;5.366.528;1.050.928;23898;
24566;;5.372.058;1.048.532;23847;
24598;;5.362.066;1.081.868;23883;
24702;;537.336;1.042.974;23847;
24806;;5.357.464;1.057.174;21493;
25042;;5.356.356;1.061.571;21516;
25608;;5.363.081;105.758;23896;
25669;;5.345.461;1.055.031;21483;
25952;;534.910.507.255.367;102.520.558.834.076;21465;
25951;;5.368.311;1.046.705;23898;
26119;;53.442.401;10.451.459;21502;
26333;;5.345.312;1.060.708;21514;
26372;;5.351.973;102.784;21521;
26426;;5.357.811;1.063.904;21516;
26443;;5.346.975;1.041.124;21502;
